Player,Position,Team,ESPN,Sleeper,Yahoo,Underdog,Underdog LW,NFFC,FFPC,Dynasty ADP,RT,Con. ADP
N'Keal Harry,WR,MIN,,,,216,,,,,,216
JuJu Smith-Schuster,WR,NE,169.9,,,216,,291.3,,246.5,,229.5
Pharaoh Brown,TE,SEA,,,,216,,,,,,216
Sterling Shepard,WR,TB,,,,216,,,,,,216
Cornelius Johnson,WR,LAC,,,,216,,,,278,,216
Braxton Berrios,WR,MIA,,,,216,0.1,,,,,216
Lil'Jordan Humphrey,WR,DEN,,,,216,,,,,,216
Justyn Ross,WR,KC,,,,216,,,,,,216
Tyler Scott,WR,CHI,,,,216,,,,,,228.4
La'Mical Perine,RB,PIT,,,,216,,,,,,216
Tanner McLachlan,TE,CIN,,,,216,,,,,,216
Laviska Shenault,WR,SEA,,,,216,,,,,,216
Brock Wright,TE,DET,,,,216,,,,,,216
Dyami Brown,WR,WAS,,,,216,,,,,,216
Miles Boykin,WR,NYG,,,,216,,,,,,216
Charlie Woerner,TE,ATL,,,,216,,,,,,216
Brayden Willis,TE,SF,,,,216,,,,,,216
Tip Reiman,TE,ARI,,,,216,,,,,,216
Charlie Jones,WR,CIN,,,,216,,,,,,228.5
