NAME,TEAM,POS,GP,PASS YDS,PASS TDS,INT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FPTS/G,FPTS
Rashard Higgins,CLE,WR,16,0,0,0,0,0,38,527,4,7.2,114.7
Danny Amendola,DET,WR,16,0,0,0,4,0,50,511,2,7.1,113.5
Zay Jones,BUF,WR,16,0,0,0,1,0,38,488,4,6.9,110.9
Randall Cobb,DAL,WR,16,0,0,0,8,0,47,505,2,6.9,110.3
Trey Quinn,WAS,WR,16,0,0,0,6,0,41,478,3,6.7,107.4
Taylor Gabriel,CHI,WR,16,0,0,0,42,0,43,477,2,6.7,106.9
Tre'Quan Smith,NO,WR,16,0,0,0,4,0,34,460,4,6.5,104.4
Marquise Brown,BAL,WR,16,0,0,0,45,0,34,469,3,6.5,103.4
Chris Conley,JAX,WR,16,0,0,0,3,0,38,462,3,6.4,102.5
Terry McLaurin,WAS,WR,16,0,0,0,1,0,36,479,3,6.4,102
