Player,Team,Pos,GP,PassingYds,PassingTD,Int,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FPTS/G,FPTS
Isaac Guerendo,SF,RB,17.0,0.0,0.0,0.0,190.2,1.5,6.6,56.0,0.2,2.4,40.8
Ameer Abdullah,LV,RB,17.0,0.0,0.0,0.0,108.0,0.2,15.5,111.8,0.2,2.3,39.1
Jeremy McNichols,WAS,RB,17.0,0.0,0.0,0.0,95.9,0.0,12.8,106.2,0.9,2.3,39.1
Nyheim Hines,CLE,RB,17.0,0.0,0.0,0.0,76.0,0.7,14.6,104.3,0.2,2.2,37.4
D'Ernest Johnson,JAX,RB,17.0,0.0,0.0,0.0,177.7,0.9,7.8,55.8,0.2,2.2,37.4
Isaiah Davis,NYJ,RB,17.0,0.0,0.0,0.0,187.4,1.2,6.3,42.7,0.1,2.2,37.4
Rasheen Ali,BAL,RB,17.0,0.0,0.0,0.0,175.7,1.1,6.8,51.2,0.1,2.1,35.7
Michael Carter,ARI,RB,17.0,0.0,0.0,0.0,138.3,0.8,10.6,68.6,0.1,2.1,35.7
Israel Abanikanda,NYJ,RB,17.0,0.0,0.0,0.0,169.5,1.0,7.0,46.4,0.2,2.1,35.7
Kevin Harris,NE,RB,17.0,0.0,0.0,0.0,147.8,1.3,7.1,53.0,0.1,2.1,35.7
Trayveon Williams,CIN,RB,17.0,0.0,0.0,0.0,147.4,0.9,8.0,53.0,0.1,2.0,34.0
Dylan Laube,LV,RB,17.0,0.0,0.0,0.0,114.6,0.6,9.9,73.3,0.2,2.0,34.0
Royce Freeman,DAL,RB,17.0,0.0,0.0,0.0,174.3,1.1,5.0,33.5,0.1,1.9,32.3
Emani Bailey,KC,RB,17.0,0.0,0.0,0.0,139.5,0.9,7.1,53.4,0.0,1.9,32.3
Kendall Milton,PHI,RB,17.0,0.0,0.0,0.0,142.0,2.0,2.0,24.0,0.0,1.8,30.6
Cordarrelle Patterson,PIT,RB,17.0,0.0,0.0,0.0,124.6,0.8,7.0,51.8,0.1,1.8,30.6
Jase McClellan,ATL,RB,17.0,0.0,0.0,0.0,119.7,0.9,5.6,44.2,0.4,1.8,30.6
Dare Ogunbowale,HOU,RB,17.0,0.0,0.0,0.0,90.5,0.4,9.5,70.1,0.1,1.7,28.9
CeeDee Lamb,DAL,WR,17.0,0.0,0.0,0.0,85.7,0.9,118.0,1519.7,8.2,19.5,331.5
Tyreek Hill,MIA,WR,17.0,0.0,0.0,0.0,27.2,0.2,107.9,1523.1,8.5,18.5,314.5
Amon-Ra St. Brown,DET,WR,17.0,0.0,0.0,0.0,31.8,0.1,110.9,1343.7,7.5,17.2,292.4
Justin Jefferson,MIN,WR,17.0,0.0,0.0,0.0,6.6,0.1,103.2,1486.6,6.1,17.0,289.0
Ja'Marr Chase,CIN,WR,17.0,0.0,0.0,0.0,12.7,0.1,101.7,1319.2,7.7,16.5,280.5
A.J. Brown,PHI,WR,17.0,0.0,0.0,0.0,1.3,0.0,89.9,1302.8,7.9,15.6,265.2
Puka Nacua,LAR,WR,17.0,0.0,0.0,0.0,59.1,0.3,92.9,1306.4,5.6,15.5,263.5
Garrett Wilson,NYJ,WR,17.0,0.0,0.0,0.0,15.2,0.1,92.8,1203.4,6.5,14.8,251.6
Davante Adams,LV,WR,17.0,0.0,0.0,0.0,0.9,0.0,92.1,1133.9,6.8,14.5,246.5
Chris Olave,NO,WR,17.0,0.0,0.0,0.0,0.9,0.0,87.6,1199.8,6.2,14.4,244.8
Marvin Harrison Jr.,ARI,WR,17.0,0.0,0.0,0.0,4.9,0.0,86.2,1162.2,6.8,14.2,241.4
Drake London,ATL,WR,17.0,0.0,0.0,0.0,2.0,0.0,84.1,1110.0,6.7,13.8,234.6
Mike Evans,TB,WR,17.0,0.0,0.0,0.0,1.1,0.0,70.6,1081.1,9.2,13.7,232.9
Nico Collins,HOU,WR,17.0,0.0,0.0,0.0,5.8,0.0,75.2,1112.0,7.4,13.6,231.2
Michael Pittman Jr.,IND,WR,17.0,0.0,0.0,0.0,3.9,0.0,93.3,1036.9,5.3,13.4,227.8
DK Metcalf,SEA,WR,17.0,0.0,0.0,0.0,1.1,0.0,70.4,1058.8,8.5,13.4,227.8
Cooper Kupp,LAR,WR,17.0,0.0,0.0,0.0,11.9,0.1,84.1,1035.3,6.3,13.3,226.1
Brandon Aiyuk,SF,WR,17.0,0.0,0.0,0.0,5.7,0.0,71.5,1112.7,7.0,13.2,224.4
DJ Moore,CHI,WR,17.0,0.0,0.0,0.0,19.5,0.3,76.4,1077.5,6.2,13.2,224.4
DeVonta Smith,PHI,WR,17.0,0.0,0.0,0.0,1.0,0.0,79.6,1039.7,6.7,13.1,222.7
Deebo Samuel Sr.,SF,WR,17.0,0.0,0.0,0.0,206.1,3.1,62.2,913.4,5.1,13.1,222.7
Jaylen Waddle,MIA,WR,17.0,0.0,0.0,0.0,20.3,0.1,79.5,1099.3,4.7,12.9,219.3
Stefon Diggs,HOU,WR,17.0,0.0,0.0,0.0,4.9,0.0,84.0,1012.8,5.6,12.8,217.6
Amari Cooper,CLE,WR,17.0,0.0,0.0,0.0,0.9,0.0,70.1,1079.3,6.1,12.6,214.2
Tee Higgins,CIN,WR,17.0,0.0,0.0,0.0,0.9,0.0,69.7,1003.7,7.4,12.6,214.2
Malik Nabers,NYG,WR,17.0,0.0,0.0,0.0,15.2,0.1,77.8,1008.2,5.4,12.4,210.8
Zay Flowers,BAL,WR,17.0,0.0,0.0,0.0,51.6,0.4,77.7,930.9,5.1,12.2,207.4
Tank Dell,HOU,WR,17.0,0.0,0.0,0.0,73.2,0.3,67.8,936.4,6.1,12.2,207.4
