Player,Team,Pos,GP,PassingYds,PassingTD,Int,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FPTS/G,FPTS
Blake Corum,LAR,RB,17,0,0,0,572.8,4.5,17,132,0.7,6.8,115.6
Chuba Hubbard,CAR,RB,17,0,0,0,500.1,3.4,23.1,162.2,0.5,6.5,110.5
Jaleel McLaughlin,DEN,RB,17,0,0,0,457,2.4,26.7,167.6,1.2,6.4,108.8
Rico Dowdle,DAL,RB,17,0,0,0,525.7,3.2,17.6,136.8,0.9,6.3,107.1
Kendre Miller,NO,RB,17,0,0,0,405.1,2.9,21.1,180.4,0.8,5.9,100.3
MarShawn Lloyd,GB,RB,17,0,0,0,416.2,2.9,18.2,138.9,0.8,5.5,93.5
Clyde Edwards-Helaire,KC,RB,17,0,0,0,336.4,2,23,194.8,1.2,5.5,93.5
Khalil Herbert,CHI,RB,17,0,0,0,474.3,2.7,15.1,104.2,0.7,5.4,91.8
Samaje Perine,DEN,RB,17,0,0,0,229.1,1.5,31.1,251.5,0.8,5.3,90.1
Ray Davis,BUF,RB,17,0,0,0,407.7,2.7,15.8,128.9,0.7,5.2,88.4
Bucky Irving,TB,RB,17,0,0,0,369.1,2.4,17,136.2,0.8,4.9,83.3
Tyrone Tracy Jr.,NYG,RB,17,0,0,0,395.9,2.4,16.5,123.4,0.5,4.9,83.3
Alexander Mattison,LV,RB,17,0,0,0,400.9,2.6,14.3,96.6,0.9,4.9,83.3
Kenneth Gainwell,PHI,RB,17,0,0,0,312,2.1,21.7,149.3,0.5,4.8,81.6
Roschon Johnson,CHI,RB,17,0,0,0,291.3,2.3,20.7,139.3,0.5,4.7,79.9
D'Onta Foreman,CLE,RB,17,0,0,0,382.3,3,9.9,76.5,0.6,4.5,76.5
Jaylen Wright,MIA,RB,17,0,0,0,336.9,2.7,12.7,107.7,0.6,4.4,74.8
Elijah Mitchell,SF,RB,17,0,0,0,399.8,3,10,63.4,0.2,4.4,74.8
Justice Hill,BAL,RB,17,0,0,0,280.4,1.9,18.6,137.5,0.4,4.2,71.4
Kimani Vidal,LAC,RB,17,0,0,0,344.1,2.2,14,103.1,0.3,4.3,73.1
Braelon Allen,NYJ,RB,17,0,0,0,350.7,2.5,11,82.8,0.4,4.1,69.7
Miles Sanders,CAR,RB,17,0,0,0,316.3,1.7,17.2,108.3,0.2,4.1,69.7
Jamaal Williams,NO,RB,17,0,0,0,318.2,2.2,15,78.3,0.2,4,68
Keaton Mitchell,BAL,RB,17,0,0,0,312.6,2.2,10.1,85.3,0.4,3.8,64.6
Dameon Pierce,HOU,RB,17,0,0,0,334.2,2.2,9.4,66.1,0.2,3.7,62.9
AJ Dillon,GB,RB,17,0,0,0,269.3,1.9,11.2,92,0.1,3.5,59.5
Tank Bigsby,JAX,RB,17,0,0,0,272.6,2.8,6.9,46.1,0.1,3,51
Chase Edmonds,TB,RB,17,0,0,0,203.2,1.2,15.3,108,0.2,3.2,54.4
Evan Hull,IND,RB,17,0,0,0,199.7,1.2,11.6,85.9,0.5,2.9,49.3
Emari Demercado,ARI,RB,17,0,0,0,158.8,1,15.4,102.4,0.3,2.9,49.3
Audric Estimé,DEN,RB,17,0,0,0,242,1.5,7.9,58.2,0.4,2.8,47.6
Eric Gray,NYG,RB,17,0,0,0,193.1,1.4,12,82.8,0.2,2.9,49.3
Ty Johnson,BUF,RB,17,0,0,0,165.2,1,11.6,100.6,0.6,2.8,47.6
Deuce Vaughn,DAL,RB,17,0,0,0,150.1,1,12.4,94.8,0.5,2.6,44.2
Will Shipley,PHI,RB,17,0,0,0,186.4,1.3,8.7,65.8,0.4,2.6,44.2
Chris Rodriguez Jr.,WAS,RB,17,0,0,0,205.7,1.5,7.8,54.5,0.1,2.5,42.5
Trey Sermon,IND,RB,17,0,0,0,236.4,1.2,6.3,42.9,0.1,2.5,42.5
Isaac Guerendo,SF,RB,17,0,0,0,190.2,1.5,6.6,56,0.2,2.4,40.8
Ameer Abdullah,LV,RB,17,0,0,0,108,0.2,15.5,111.8,0.2,2.3,39.1
Jeremy McNichols,WAS,RB,17,0,0,0,95.9,0,12.8,106.2,0.9,2.3,39.1
Nyheim Hines,CLE,RB,17,0,0,0,76,0.7,14.6,104.3,0.2,2.2,37.4
D'Ernest Johnson,JAX,RB,17,0,0,0,177.7,0.9,7.8,55.8,0.2,2.2,37.4
Isaiah Davis,NYJ,RB,17,0,0,0,187.4,1.2,6.3,42.7,0.1,2.2,37.4
Rasheen Ali,BAL,RB,17,0,0,0,175.7,1.1,6.8,51.2,0.1,2.1,35.7
Michael Carter,ARI,RB,17,0,0,0,138.3,0.8,10.6,68.6,0.1,2.1,35.7
Israel Abanikanda,NYJ,RB,17,0,0,0,169.5,1,7,46.4,0.2,2.1,35.7
Kevin Harris,NE,RB,17,0,0,0,147.8,1.3,7.1,53,0.1,2.1,35.7
Trayveon Williams,CIN,RB,17,0,0,0,147.4,0.9,8,53,0.1,2,34
