NAME,TEAM,POS,GP,PASS YDS,PASS TDS,INT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FPTS/G,FPTS
Brandon Allen,DEN,QB,16.00,144.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,5.80
Jarrett Stidham,NE,QB,16.00,137.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.20,3.60
Sean Mannion,MIN,QB,16.00,71.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.20,3.00
Cooper Rush,DAL,QB,16.00,66.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.20,2.90
Geno Smith,SEA,QB,16.00,44.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.10,1.90
Josh Johnson,DET,QB,16.00,35.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.10,1.60
Trace McSorley,BAL,QB,16.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.10,1.60
Brian Hoyer,IND,QB,16.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10
Garrett Gilbert,CLE,QB,16.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Landry Jones,LV,QB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tyler Bray,CHI,QB,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alex Tanney,NYG,QB,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kurt Benkert,ATL,QB,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Clayton Thorson,PHI,QB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andrew Luck,IND,QB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brett Rypien,DEN,QB,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Quinton Flowers,CIN,QB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luis Perez,DET,QB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chase Litton,KC,QB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nick Fitzgerald,TB,QB,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brad Kaaya,CIN,QB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kyle Shurmur,KC,QB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Connor Cook,DET,QB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tanner Lee,JAX,QB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Taylor Heinicke,CAR,QB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Matt Simms,ATL,QB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cody Kessler,PHI,QB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Easton Stick,LAC,QB,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kevin Hogan,DEN,QB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kyle Sloter,MIN,QB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David Fales,DET,QB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Josh Woodrum,WAS,QB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saquon Barkley,NYG,RB,16.00,0.00,0.00,0.00,1265.00,10.00,82.00,650.00,3.00,21.70,347.50
Christian McCaffrey,CAR,RB,16.00,0.00,0.00,0.00,975.00,7.00,94.00,804.00,5.00,21.40,341.90
Alvin Kamara,NO,RB,16.00,0.00,0.00,0.00,885.00,9.00,86.00,754.00,4.00,20.40,325.90
