Player,Team,Pos,GP,PassingYds,PassingTD,Int,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FPTS/G,FPTS
Trey Sermon,IND,RB,17,0,0,0,236.4,1.2,6.3,42.9,0.1,2.5,856.9
Isaac Guerendo,SF,RB,17,0,0,0,190.2,1.5,6.6,56,0.2,2.4,856.3
Ameer Abdullah,LV,RB,17,0,0,0,108,0.2,15.5,111.8,0.2,2.3,854.8
Jeremy McNichols,WAS,RB,17,0,0,0,95.9,0,12.8,106.2,0.9,2.3,853.3
Nyheim Hines,CLE,RB,17,0,0,0,76,0.7,14.6,104.3,0.2,2.2,852.9
D'Ernest Johnson,JAX,RB,17,0,0,0,177.7,0.9,7.8,55.8,0.2,2.2,852.7
Isaiah Davis,NYJ,RB,17,0,0,0,187.4,1.2,6.3,42.7,0.1,2.2,852
Rasheen Ali,BAL,RB,17,0,0,0,175.7,1.1,6.8,51.2,0.1,2.1,851.6
Michael Carter,ARI,RB,17,0,0,0,138.3,0.8,10.6,68.6,0.1,2.1,851.6
Israel Abanikanda,NYJ,RB,17,0,0,0,169.5,1,7,46.4,0.2,2.1,850.7
Kevin Harris,NE,RB,17,0,0,0,147.8,1.3,7.1,53,0.1,2.1,850.5
Trayveon Williams,CIN,RB,17,0,0,0,147.4,0.9,8,53,0.1,2,849
Dylan Laube,LV,RB,17,0,0,0,114.6,0.6,9.9,73.3,0.2,2,848.4
Royce Freeman,DAL,RB,17,0,0,0,174.3,1.1,5,33.5,0.1,1.9,847.9
Emani Bailey,KC,RB,17,0,0,0,139.5,0.9,7.1,53.4,0,1.9,846.7
Kendall Milton,PHI,RB,17,0,0,0,142,2,2,24,0,1.8,845.5
Cordarrelle Patterson,PIT,RB,17,0,0,0,124.6,0.8,7,51.8,0.1,1.8,845
Jase McClellan,ATL,RB,17,0,0,0,119.7,0.9,5.6,44.2,0.4,1.8,844.7
Dare Ogunbowale,HOU,RB,17,0,0,0,90.5,0.4,9.5,70.1,0.1,1.7,843.5
Christian McCaffrey,SF,RB,17,0,0,0,1229.7,10.5,66.4,540.9,5,19.6,1151.4
Breece Hall,NYJ,RB,17,0,0,0,1057.3,8.4,65.2,535.8,3.9,17.4,1113.2
Bijan Robinson,ATL,RB,17,0,0,0,1052.2,7.2,61.4,513.4,4.3,16.6,1101.9
Saquon Barkley,PHI,RB,17,0,0,0,1153.4,9,44.5,324.1,2.9,15.3,1078.6
Jonathan Taylor,IND,RB,17,0,0,0,1248.6,9.7,34.4,265.6,1.8,14.8,1069.7
Kyren Williams,LAR,RB,17,0,0,0,1098,10.2,36,256.1,2.5,14.3,1062.5
Jahmyr Gibbs,DET,RB,17,0,0,0,932.8,8.2,54.6,393.3,1.8,14.4,1062.1
Travis Etienne Jr.,JAX,RB,17,0,0,0,958.7,8.3,47.6,374.4,1.5,13.9,1054.6
Isiah Pacheco,KC,RB,17,0,0,0,992.6,8.4,43.7,281.8,2,13.5,1048.5
Derrick Henry,BAL,RB,17,0,0,0,1149.2,11.4,23.3,190.2,0.9,13.4,1046
Rachaad White,TB,RB,17,0,0,0,861.9,6.5,50.9,401.2,2.3,13.3,1044.9
De'Von Achane,MIA,RB,17,0,0,0,876.7,7.3,43.5,342.3,3,13.2,1042.1
Josh Jacobs,GB,RB,17,0,0,0,1025.1,8.4,36.9,283.1,1.3,13.1,1040.8
Alvin Kamara,NO,RB,17,0,0,0,709.1,5,66.4,463,1.8,13,1039.3
James Cook,BUF,RB,17,0,0,0,1020.5,4.1,42.9,370.5,2.6,12.9,1037.1
Joe Mixon,HOU,RB,17,0,0,0,942.6,7.4,39.2,296.8,2,12.8,1034.5
Kenneth Walker III,SEA,RB,17,0,0,0,964.5,8.9,29.8,230.7,1.2,12.2,1024.8
James Conner,ARI,RB,17,0,0,0,897.4,6.6,34.2,233.8,1.9,11.5,1013.2
Aaron Jones,MIN,RB,17,0,0,0,815.2,5.2,42.3,328.8,1.7,11.5,1013
Rhamondre Stevenson,NE,RB,17,0,0,0,865.5,5.9,39.6,280,0.9,11.3,1009.9
D'Andre Swift,CHI,RB,17,0,0,0,849.8,5.2,39.7,278.9,1.5,11.2,1007.7
Zamir White,LV,RB,17,0,0,0,983,5.9,30.8,215.7,0.8,11,1005.8
David Montgomery,DET,RB,17,0,0,0,916,9.4,21,154.6,0.7,11,1003.6
Najee Harris,PIT,RB,17,0,0,0,942.7,7,26.4,170.1,1.1,10.8,1001.2
Raheem Mostert,MIA,RB,17,0,0,0,796.4,9,23.5,165.5,1.9,10.7,1000
Jonathon Brooks,CAR,RB,17,0,0,0,815.8,5.5,35.6,265.6,1.3,10.6,999.5
Jaylen Warren,PIT,RB,17,0,0,0,688.2,3.7,49.1,338.3,1.4,10.5,997.3
Javonte Williams,DEN,RB,17,0,0,0,796.3,5.1,39.3,237.3,1.4,10.5,996.6
Austin Ekeler,WAS,RB,17,0,0,0,521.5,4.5,49.8,403.2,1.9,10.4,995.6
Tony Pollard,TEN,RB,17,0,0,0,816.5,5.7,34.4,237.9,0.8,10.4,993.8
Zack Moss,CIN,RB,17,0,0,0,763.1,6.1,31.8,223.5,1.7,10.3,992.2
Devin Singletary,NYG,RB,17,0,0,0,857.8,5.1,34.4,210.9,0.7,10.2,991
Brian Robinson Jr.,WAS,RB,17,0,0,0,764.1,5.6,28.7,237.5,1.9,10,988.8
Tyjae Spears,TEN,RB,17,0,0,0,599.9,3.8,43.5,331.4,1.3,9.7,982.1
Ezekiel Elliott,DAL,RB,17,0,0,0,664.1,5.9,32.7,225.3,1.4,9.6,980.4
Nick Chubb,CLE,RB,17,0,0,0,856.9,5.9,20.3,158.5,1.1,9.5,978.8
Gus Edwards,LAC,RB,17,0,0,0,724.8,7,13.9,123.9,0.6,8.3,959.3
Chase Brown,CIN,RB,17,0,0,0,518.7,3.1,35,292.4,1.5,8.4,958.6
Jerome Ford,CLE,RB,17,0,0,0,514.7,3.4,32.7,233.4,2.1,8.1,955.4
Zach Charbonnet,SEA,RB,17,0,0,0,542.7,3.1,33.9,229.3,0.7,7.7,948.8
Antonio Gibson,NE,RB,17,0,0,0,414.6,2.2,39,289.1,1.2,7.5,944.7
Trey Benson,ARI,RB,17,0,0,0,588.7,4.1,19.9,141.4,0.8,7,937.2
Tyler Allgeier,ATL,RB,17,0,0,0,549.8,3.8,19.6,165.7,1.2,7,936.1
J.K. Dobbins,LAC,RB,17,0,0,0,494.7,3.6,21.8,163.3,1.8,6.9,934.9
Ty Chandler,MIN,RB,17,0,0,0,528.5,4.2,21.2,159.5,0.7,7,934.3
Blake Corum,LAR,RB,17,0,0,0,572.8,4.5,17,132,0.7,6.8,933.6
Chuba Hubbard,CAR,RB,17,0,0,0,500.1,3.4,23.1,162.2,0.5,6.5,927.6
Jaleel McLaughlin,DEN,RB,17,0,0,0,457,2.4,26.7,167.6,1.2,6.4,925.7
Rico Dowdle,DAL,RB,17,0,0,0,525.7,3.2,17.6,136.8,0.9,6.3,923.4
Kendre Miller,NO,RB,17,0,0,0,405.1,2.9,21.1,180.4,0.8,5.9,916.8
MarShawn Lloyd,GB,RB,17,0,0,0,416.2,2.9,18.2,138.9,0.8,5.5,910.8
Clyde Edwards-Helaire,KC,RB,17,0,0,0,336.4,2,23,194.8,1.2,5.5,910.2
Khalil Herbert,CHI,RB,17,0,0,0,474.3,2.7,15.1,104.2,0.7,5.4,908.3
Samaje Perine,DEN,RB,17,0,0,0,229.1,1.5,31.1,251.5,0.8,5.3,907.9
Ray Davis,BUF,RB,17,0,0,0,407.7,2.7,15.8,128.9,0.7,5.2,904.8
Bucky Irving,TB,RB,17,0,0,0,369.1,2.4,17,136.2,0.8,4.9,901.6
Tyrone Tracy Jr.,NYG,RB,17,0,0,0,395.9,2.4,16.5,123.4,0.5,4.9,900.7
Alexander Mattison,LV,RB,17,0,0,0,400.9,2.6,14.3,96.6,0.9,4.9,900
Kenneth Gainwell,PHI,RB,17,0,0,0,312,2.1,21.7,149.3,0.5,4.8,898.3
Roschon Johnson,CHI,RB,17,0,0,0,291.3,2.3,20.7,139.3,0.5,4.7,895.5
D'Onta Foreman,CLE,RB,17,0,0,0,382.3,3,9.9,76.5,0.6,4.5,892.3
Jaylen Wright,MIA,RB,17,0,0,0,336.9,2.7,12.7,107.7,0.6,4.4,891.9
Elijah Mitchell,SF,RB,17,0,0,0,399.8,3,10,63.4,0.2,4.4,890.4
Justice Hill,BAL,RB,17,0,0,0,280.4,1.9,18.6,137.5,0.4,4.2,889.1
Kimani Vidal,LAC,RB,17,0,0,0,344.1,2.2,14,103.1,0.3,4.3,888.6
Braelon Allen,NYJ,RB,17,0,0,0,350.7,2.5,11,82.8,0.4,4.1,886.7
Miles Sanders,CAR,RB,17,0,0,0,316.3,1.7,17.2,108.3,0.2,4.1,886
Jamaal Williams,NO,RB,17,0,0,0,318.2,2.2,15,78.3,0.2,4,884
Keaton Mitchell,BAL,RB,17,0,0,0,312.6,2.2,10.1,85.3,0.4,3.8,880.4
Dameon Pierce,HOU,RB,17,0,0,0,334.2,2.2,9.4,66.1,0.2,3.7,878.7
AJ Dillon,GB,RB,17,0,0,0,269.3,1.9,11.2,92,0.1,3.5,874.2
Tank Bigsby,JAX,RB,17,0,0,0,272.6,2.8,6.9,46.1,0.1,3,871.1
Chase Edmonds,TB,RB,17,0,0,0,203.2,1.2,15.3,108,0.2,3.2,869.7
Evan Hull,IND,RB,17,0,0,0,199.7,1.2,11.6,85.9,0.5,2.9,865.3
Emari Demercado,ARI,RB,17,0,0,0,158.8,1,15.4,102.4,0.3,2.9,864.2
Audric Estimé,DEN,RB,17,0,0,0,242,1.5,7.9,58.2,0.4,2.8,864.2
Eric Gray,NYG,RB,17,0,0,0,193.1,1.4,12,82.8,0.2,2.9,864.1
Ty Johnson,BUF,RB,17,0,0,0,165.2,1,11.6,100.6,0.6,2.8,862.7
Deuce Vaughn,DAL,RB,17,0,0,0,150.1,1,12.4,94.8,0.5,2.6,860.8
Will Shipley,PHI,RB,17,0,0,0,186.4,1.3,8.7,65.8,0.4,2.6,859
Chris Rodriguez Jr.,WAS,RB,17,0,0,0,205.7,1.5,7.8,54.5,0.1,2.5,858.3
Trey Sermon,IND,RB,17,0,0,0,236.4,1.2,6.3,42.9,0.1,2.5,856.9
Isaac Guerendo,SF,RB,17,0,0,0,190.2,1.5,6.6,56,0.2,2.4,856.3
